epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3356,2.71032,6.9102,2.71644,0.00394,0.08962,0.00157,0.00041,3.40207,20.4946,15.6434,0.000657277,0.000657277,0.000657277
2,71.3202,2.63881,3.36858,2.81023,0.00163,0.33019,0.00114,0.00038,2.90459,inf,4.32275,0.00132393,0.00132393,0.00132393
3,106.081,2.6414,3.24663,2.84719,0.00759,0.12736,0.00397,0.00104,3.00177,118.835,3.69639,0.00199053,0.00199053,0.00199053
4,139.96,2.60537,3.26009,2.79927,0.08429,0.0566,0.01409,0.00458,nan,nan,nan,0.00199982,0.00199982,0.00199982
5,173.897,2.59587,3.0937,2.776,0.01499,0.06604,0.00399,0.00116,3.19545,10.1408,4.03665,0.00199969,0.00199969,0.00199969
6,207.839,2.55997,3.05044,2.83053,0.07982,0.16509,0.03816,0.00933,2.64904,4.17388,3.15179,0.00199951,0.00199951,0.00199951
7,241.85,2.53559,3.07153,2.85643,0.18149,0.1934,0.10152,0.02755,2.50353,3.84378,3.03693,0.0019993,0.0019993,0.0019993
8,275.962,2.47504,2.93356,2.75812,0.14837,0.17453,0.06065,0.01586,2.56427,9.54795,3.17068,0.00199904,0.00199904,0.00199904
9,309.84,2.49728,2.93561,2.78799,0.15644,0.16981,0.08889,0.02773,2.51773,5.73906,3.116,0.00199875,0.00199875,0.00199875
10,343.875,2.43595,2.797,2.78608,0.33585,0.24528,0.18841,0.05789,2.46809,3.01016,3.01125,0.00199842,0.00199842,0.00199842
11,377.834,2.47739,2.89369,2.79348,0.26254,0.25472,0.15987,0.05169,2.54665,2.78135,3.01052,0.00199805,0.00199805,0.00199805
12,411.76,2.42069,2.7641,2.6886,0.30325,0.21226,0.17821,0.05723,2.47356,2.71694,2.96725,0.00199764,0.00199764,0.00199764
13,445.686,2.42268,2.77047,2.72396,0.24652,0.25943,0.16919,0.05133,2.48791,2.89114,3.04123,0.00199719,0.00199719,0.00199719
14,479.576,2.37397,2.68298,2.73217,0.39496,0.30189,0.24271,0.07868,2.37024,2.98225,2.95619,0.0019967,0.0019967,0.0019967
15,513.549,2.40468,2.59097,2.68439,0.24995,0.31132,0.18477,0.05613,2.3655,3.28408,2.89819,0.00199617,0.00199617,0.00199617
16,547.486,2.33601,2.61308,2.64787,0.35482,0.30093,0.2447,0.07994,2.41784,2.55073,2.92115,0.00199561,0.00199561,0.00199561
