epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.544,2.25334,3.04049,2.12753,0.62168,0.4127,0.47337,0.19369,2.10476,1.92888,1.86451,0.00331731,0.00331731,0.00331731
2,285.365,2.05966,1.98604,1.79607,0.60755,0.42857,0.48809,0.19867,2.0979,2.00275,1.89183,0.00665058,0.00665058,0.00665058
3,418.692,2.22318,2.21189,1.96266,0.3843,0.26984,0.2317,0.07727,2.4295,3.00943,2.26749,0.00998358,0.00998358,0.00998358
4,566.141,2.36516,2.48212,2.13575,0.33162,0.21825,0.18857,0.04592,2.70691,5.61892,2.66987,0.00999912,0.00999912,0.00999912
5,695.537,2.29569,2.37591,2.16846,0.4873,0.31349,0.31637,0.10821,2.27775,3.44915,2.22935,0.00999844,0.00999844,0.00999844
6,846.019,2.25424,2.28325,2.11054,0.42956,0.39286,0.34719,0.12692,2.18253,2.32301,2.15239,0.00999756,0.00999756,0.00999756
7,968.122,2.17833,2.15755,2.06226,0.54811,0.45238,0.44451,0.17952,2.11526,1.99076,2.11901,0.00999648,0.00999648,0.00999648
8,1120.97,2.15552,2.15998,2.03585,0.44631,0.32937,0.30923,0.11002,2.37378,2.48687,2.20156,0.00999521,0.00999521,0.00999521
9,1237.21,2.11961,2.06678,2.01339,0.55729,0.49454,0.47165,0.19391,2.10583,1.87528,2.07245,0.00999375,0.00999375,0.00999375
10,1395.74,2.08175,1.94734,1.97214,0.58208,0.49206,0.48086,0.19838,2.09997,1.90493,2.08195,0.00999209,0.00999209,0.00999209
11,1509.76,2.04366,1.94398,1.95462,0.5852,0.52066,0.54123,0.22464,2.04107,1.79674,2.01282,0.00999023,0.00999023,0.00999023
12,1669.41,2.03832,1.91542,1.95941,0.51269,0.54365,0.49099,0.19522,2.09999,1.9869,2.04161,0.00998818,0.00998818,0.00998818
13,1786.97,2.03583,1.90439,1.93904,0.61938,0.5,0.55409,0.25179,2.00585,1.80815,1.9886,0.00998594,0.00998594,0.00998594
14,1923.26,2.01067,1.82895,1.90749,0.54788,0.53175,0.53385,0.25127,2.01067,1.75158,2.01802,0.0099835,0.0099835,0.0099835
15,2030.86,1.98501,1.78071,1.85946,0.65969,0.55159,0.5674,0.26347,1.96166,1.63964,1.96752,0.00998086,0.00998086,0.00998086
16,2156.99,1.95935,1.75049,1.86144,0.73434,0.59921,0.64514,0.27987,1.97535,1.50454,1.9412,0.00997803,0.00997803,0.00997803
17,2273.46,1.96322,1.74669,1.8579,0.65394,0.58333,0.63077,0.29593,1.89568,1.51113,1.91031,0.00997501,0.00997501,0.00997501
18,2388.75,1.92419,1.67552,1.85383,0.75663,0.53051,0.6306,0.29782,1.9086,1.4866,1.94626,0.00997179,0.00997179,0.00997179
19,2518.43,1.91158,1.65426,1.81735,0.66846,0.56746,0.60653,0.27896,1.96871,1.60371,1.95722,0.00996838,0.00996838,0.00996838
20,2623.84,1.92158,1.6621,1.8329,0.71678,0.62266,0.68183,0.32097,1.92247,1.44466,1.90011,0.00996477,0.00996477,0.00996477
21,2759.74,1.8698,1.61327,1.78295,0.71648,0.61171,0.67539,0.3216,1.94737,1.41807,1.93651,0.00996097,0.00996097,0.00996097
22,2861.04,1.8848,1.61149,1.78315,0.72764,0.62549,0.66463,0.32096,1.8526,1.46099,1.82358,0.00995697,0.00995697,0.00995697
23,2998.23,1.84889,1.58516,1.76987,0.83983,0.5826,0.70597,0.33995,1.85649,1.39417,1.83588,0.00995278,0.00995278,0.00995278
